,name,city,date,link,description,compensation,employment_type,posting_info
0,DRIVERS NEEDED!!! $18.00 per hour,"Everett, Revere, Chelsea, Malden, Medford, Melrose, Woburn",Aug 31,https://boston.craigslist.org/gbs/trp/d/billerica-drivers-needed-1800-per-hour/7528459332.html,"

QR Code Link to This Post


Medical Transportation Company (Ambulatory Service) is hiring drivers with regular Class D drivers license for a full time position.
Experienced $18.00 p/h immediately
Not experienced $17.00 p/h for the first 2 weeks,  $18.00 p/h after. 
Paid WEEKLY!
Company Vehicle provided.
Available immediately!

Requirements:
1. Basic English
2. Must have a safe overnight parking spot.
3. Must be at least 21 years or older.
4. Must have a driving experience with AT LEAST 1 YEAR in the U.S.
5. Must have a good driving record (no more than 3 violations within the last 7 years).
6. No criminal background.
Shift hours: 5am-1pm (approximately)
Preferably from towns: Boston, Everett, Revere, Chelsea, Malden, Medford, Melrose, Saugus, Woburn, Winchester, Stoneham, Wakefield, Cambridge, Somerville, Burlington and surrounding areas.

If Interested, please send your unattested driving record, which you can obtain online:
https://www.mass.gov/how-to/request-a-driving-record
($8.00 will be reimbursed once/if hired) and send it to (857)205-6905.
When contacting, please specify that you found us through Craigslist.
Please DO NOT contact if the requirements are not met!
If any questions, please send a text message any time or call after 2pm (857)205-6905

Russ
",$18.00,full-time,2022-08-31 21
1,PREP COOK/BROILER COOK,Metro-Boston - Brookline,Aug 31,https://boston.craigslist.org/gbs/fbh/d/brookline-village-prep-cook-broiler-cook/7528452967.html,"

QR Code Link to This Post


Upscale Asian restaurant on the Greenline
Hours available:
Tuesday through Sunday 12:30 PM - 11:00 PM
Send resume with inquiry or come in person to:
Golden Temple
1651 Beacon Street, Brookline, MA
(857) 286-6507
","Annual $35,000 - $45,000",full-time,2022-08-31 21
2,Laborer,Boston,Aug 31,https://boston.craigslist.org/gbs/lab/d/roslindale-laborer/7528450573.html,"

QR Code Link to This Post


Working on/around natural gas lines in the Boston area.

Paid training before entering the field so no experience needed.

Year round work including overtime/nights and snow plowing.

Must pass a drug test.

Ideally looking for a hard working individual who isnt worried about getting dirty. Normal everyday duties include setting up jobsite, hand digging, sweeping up jobsite and backfilling trenches

Having a form of transportation is preferred but not necessary.

The right candidate will be taught how to drive a backhoe/mini/skidsteer in due time...

Great opportunity for someone with the right attitude and a drive to better themselves.

Very secure work so no worry of being laid off

Job Type: Full-time

Pay: $18.00 - $25.00 per hour
",$18-$25/hour,full-time,2022-08-31 20
3,"Japanese Restaurant Hiring Bartender, Hostess/Host, Busboy",Medford,Aug 31,https://boston.craigslist.org/gbs/fbh/d/medford-japanese-restaurant-hiring/7528447837.html,"

QR Code Link to This Post


Yoki Japanese Restaurant HIRING Full time, Part time 

Bartender: experience is needed
Hostess/Host: 1 years of experience preferred
Busboy:  experience is needed

The basic necessities for an employee is that you have to be on time, be passionate about what you're doing, and to be cooperative with your teammates. If you can't follow these three basic necessities, you are NOT qualified for this job. 
All applicants MUST be over 18 years old. (Bartender Must OVER 21 years old)
If you are interested in any of the positions, please Email us or Call, Text  to  617-895-9908  Le




",Call For details,employee's choice,2022-08-31 20
4,"💚 CLEANING JOBS AVAILABLE 💚  $23+/hr, Paid Daily 💚",northwest/merrimack,Aug 31,https://boston.craigslist.org/nwb/lab/d/andover-cleaning-jobs-available-23-hr/7528439531.html,"

QR Code Link to This Post




Click here to apply

Homeaglow is a house cleaning platform that helps local cleaners find new clients. We are seeking additions to our cleaning team, so if you have cleaning experience, we'd love to work with you. Typical starting schedule consists of 10-20 hrs/week, but can quickly turn into 40 hrs/week.

WHY YOU SHOULD APPLY
1. Competitive pay ($23+/hr)
2. Flexible hours (you set your own schedule!)
3. Professional cleaning certification included
And more...

ATTRIBUTES WE ARE LOOKING FOR
1. Must be a detail-oriented, hard worker and love to clean.
2. Must be energetic and have a great attitude at all times.
3. Must be RELIABLE & TRUSTWORTHY

REQUIREMENTS
1. Must have a valid social security number and authorized to work in the United States. (we conduct background checks prior to your start)
2. Speak fluent English.

To get started, fill out an application online at https://www.homeaglow.com/apply and we will get back to you shortly.

clean, cleaner, cleaners, cleaning, house keeping, house keeper, house keepers, housekeeper, housekeeping, housekeepers, maid, janitor, maids, limpieza, limpiador, limpiar, mucama, handy, hotel, cleaning job, housekeeping job, house keeping job, home cleaner, merrymaids, merry maids, molly maids, mollymaids, getmaids, local cleaning, dusting, house keeping job, housekeeping job, commercial, janitor, cleaning team, cleaning, cleaning jobs, cleaner, cleaner jobs, housekeeping, house keeping, housekeeper, housekeepers, house keeper jobs, home cleaner, cleaning houses, maid, maid services, domestic cleaners, domestic help, home services, house cleaner jobs, custodian, custodial, maintenance, professional cleaner, limpieza residencial, mantenimiento de la casa, ama de casa, amas de llaves, trabajos encargado de casa, limpiador de casa, limpiando casas, criada, servicios de limpieza, a tiempo parcial, trabajo a tiempo parcial, el empleo a tiempo parcial, housekeeper job, cleaning jobs, housekeeping jobs, cleaning jobs near me, housekeeping jobs near me, house cleaning jobs, office cleaning jobs, housekeeper jobs, janitorial jobs, house cleaning jobs near me, looking for cleaning job, part time cleaning jobs, cleaning, services jobs, hotel housekeeping jobs, local cleaning jobs, night cleaning jobs, maid jobs, office cleaning jobs near me, private cleaning jobs, commercial cleaning jobs, janitorial jobs near me, private house cleaning jobs, domestic cleaning jobs, cleaning vacancies, cleaning jobs hiring, cleaners wanted, cleaning companies hiring near me, cleaning company jobs, part time cleaning jobs near me, cleaning jobs hiring near me, house cleaning wanted, cleaning services hiring near me, hotel cleaning jobs, find cleaning jobs, cleaning job available, private housekeeper jobs, full time cleaning jobs, home cleaning jobs, housekeeping jobs hiring, housekeeping jobs hiring near me, cleaning agency jobs, empleos de limpieza, trabajos de limpieza, trabajos de limpieza de la casa, trabajos de limpieza, trabajos de limpieza de hotel, trabajos de limpieza locales, trabajos de limpieza nocturna, trabajos de limpieza, trabajos de limpieza de oficinas cerca de, trabajos de limpieza privados, trabajos de limpieza comercial, trabajos de limpieza de casas privadas, limpieza de puestos de trabajo, limpiadores queridos, trabajos de limpieza, trabajos de limpieza a tiempo parcial, limpieza de casas querida, trabajos de limpieza de hoteles, encontrar trabajos de limpieza, trabajos de limpieza disponibles, privados trabajos de ama de llaves, trabajos de limpieza a tiempo completo, trabajos de limpieza del hogar.
",$23+/hr,contract,2022-08-31 20
5,🚗🚗🚗 RINSE will pay for your gas to deliver! 🚗🚗🚗,boston/cambridge/brookline,Aug 31,https://boston.craigslist.org/gbs/csr/d/charlestown-rinse-will-pay-for-your-gas/7528435724.html,"

QR Code Link to This Post



 




LIMITED TIME BONUS!
Drive 7 delivery routes in your first 14 days and earn a $150 bonus!
Drive 10 delivery routes in your first 14 days and earn a $300 bonus!




Join the Rinse Valet team. We’re taking the stress of laundry day away and you can help us do it!



What is Rinse?

Rinse(www.rinse.com) is on a mission to remove the stress of laundry day and give people their time back. Founded in San Francisco in 2013, we’re a rapidly growing start-up that offers laundry and dry cleaning services on demand. We’re looking for great new additions to our Valet team.








Why drive with Rinse?
 As a Rinse Valet, you’ll be the face of our brand and provide our customers with the best-in-class service when you pick up and deliver their clothing. This part-time role offers flexible scheduling and evening-only shifts, plus tips and mileage reimbursement. 



Predictable and flexible evening shifts (7:15pm-10:45pm). We operate 7 days a week and can work around your availability.
Earn $75-120+ per shift with pay and tips!
Keep 100% of tips.
Guaranteed hourly minimum (varies by market). 
Driving expenses are reimbursed at $0.625/mile driven. Because you're a W-2 employee of Rinse, we add a mileage reimbursement ($.625/mile) to your paycheck to account for gas and wear and tear to your vehicle.  So, if your car makes 28 MPG and drive approximately 20 miles for Rinse, you'd spend $4.06 on gas for your route but reimbursed $12.50! Data usage is also reimbursed!
W2 employee benefits: payroll taxes covered, up to 72 hours of Paid Sick Leave, and other benefits such as company credits for laundry and dry cleaning services and mobile data reimbursement.
Advance your career with Rinse - Enjoy career growth opportunities as many of our current managers started out as Valets
 $10 Rinse credit for every 10 routes completed (can be used for any Rinse cleaning services) 






What do Rinse Valets need?

Great customer service skills
4-door vehicle (the bigger the better!)
A clean driving record
A GPS enabled smartphone
Availability to work 7:15pm -10:45pm shifts











Driving with Rinse is perfect for those looking for a flexible way to make some additional income. Hours are in the evening. No previous experience as a transportation driver, truck driver, taxi driver, courier driver or delivery driver is necessary. We welcome those who have driven with other peer-to-peer ridesharing networks such as Lyft, Uber, DoorDash, Shipt, Munchery, Postmates, Caviar, Instacart, Amazon, Amazon Fresh, Amazon Flex, Eat24, OrderAhead, Seamless.  Our delivery Valets come from all backgrounds and industries ranging from traditional driving and transportation industries to more customer service and creative industries. If you are an account manager, accountant, accounting, actor, actress, admin, administrative, administrative assistant, barista, bus boy, busboy, busser, cab driver, cab-driver, chauffeur, cleaner, cleaners, clerical, coffee, college student, construction, contract worker, customer service, customer service agent, delivery driver, designer, education, entry level, entry-level, expo, finance, food runner, food-runner, foodrunner, full time, full-time, health care, healthcare, host, hostess, hosts, human resources, human-resources, intern, interns, IT, limo driver, maid, maintenance, management, manager, manufacturing, marketing, messenger, network marketing, nurse, office, part time, part-time, private hire driver, receptionist, receptionists, restaurant, retail, retail associate, sales, sales person, salesperson, server, servers, teacher, teachers, valet, valets, waiter, waiters, waitresses, warehouse, worker, who is looking for a flexible part time or seasonal job, you should try driving with Rinse to supplement your income!.



 ",$60-$90+/shift + Tips + $0.625/mi + Bonuses (W-2),part-time,2022-08-31 20
6,🚗🚗🚗 RINSE will pay for your gas to deliver! 🚗🚗🚗,boston/cambridge/brookline,Aug 31,https://boston.craigslist.org/gbs/fbh/d/charlestown-rinse-will-pay-for-your-gas/7528435695.html,"

QR Code Link to This Post



 




LIMITED TIME BONUS!
Drive 7 delivery routes in your first 14 days and earn a $150 bonus!
Drive 10 delivery routes in your first 14 days and earn a $300 bonus!




Join the Rinse Valet team. We’re taking the stress of laundry day away and you can help us do it!



What is Rinse?

Rinse(www.rinse.com) is on a mission to remove the stress of laundry day and give people their time back. Founded in San Francisco in 2013, we’re a rapidly growing start-up that offers laundry and dry cleaning services on demand. We’re looking for great new additions to our Valet team.








Why drive with Rinse?
 As a Rinse Valet, you’ll be the face of our brand and provide our customers with the best-in-class service when you pick up and deliver their clothing. This part-time role offers flexible scheduling and evening-only shifts, plus tips and mileage reimbursement. 



Predictable and flexible evening shifts (7:15pm-10:45pm). We operate 7 days a week and can work around your availability.
Earn $75-120+ per shift with pay and tips!
Keep 100% of tips.
Guaranteed hourly minimum (varies by market). 
Driving expenses are reimbursed at $0.625/mile driven. Because you're a W-2 employee of Rinse, we add a mileage reimbursement ($.625/mile) to your paycheck to account for gas and wear and tear to your vehicle.  So, if your car makes 28 MPG and drive approximately 20 miles for Rinse, you'd spend $4.06 on gas for your route but reimbursed $12.50! Data usage is also reimbursed!
W2 employee benefits: payroll taxes covered, up to 72 hours of Paid Sick Leave, and other benefits such as company credits for laundry and dry cleaning services and mobile data reimbursement.
Advance your career with Rinse - Enjoy career growth opportunities as many of our current managers started out as Valets
 $10 Rinse credit for every 10 routes completed (can be used for any Rinse cleaning services) 






What do Rinse Valets need?

Great customer service skills
4-door vehicle (the bigger the better!)
A clean driving record
A GPS enabled smartphone
Availability to work 7:15pm -10:45pm shifts











Driving with Rinse is perfect for those looking for a flexible way to make some additional income. Hours are in the evening. No previous experience as a transportation driver, truck driver, taxi driver, courier driver or delivery driver is necessary. We welcome those who have driven with other peer-to-peer ridesharing networks such as Lyft, Uber, DoorDash, Shipt, Munchery, Postmates, Caviar, Instacart, Amazon, Amazon Fresh, Amazon Flex, Eat24, OrderAhead, Seamless.  Our delivery Valets come from all backgrounds and industries ranging from traditional driving and transportation industries to more customer service and creative industries. If you are an account manager, accountant, accounting, actor, actress, admin, administrative, administrative assistant, barista, bus boy, busboy, busser, cab driver, cab-driver, chauffeur, cleaner, cleaners, clerical, coffee, college student, construction, contract worker, customer service, customer service agent, delivery driver, designer, education, entry level, entry-level, expo, finance, food runner, food-runner, foodrunner, full time, full-time, health care, healthcare, host, hostess, hosts, human resources, human-resources, intern, interns, IT, limo driver, maid, maintenance, management, manager, manufacturing, marketing, messenger, network marketing, nurse, office, part time, part-time, private hire driver, receptionist, receptionists, restaurant, retail, retail associate, sales, sales person, salesperson, server, servers, teacher, teachers, valet, valets, waiter, waiters, waitresses, warehouse, worker, who is looking for a flexible part time or seasonal job, you should try driving with Rinse to supplement your income!.



 ",$60-$90+/shift + Tips + $0.625/mi + Bonuses (W-2),part-time,2022-08-31 20
7,🚗🚗🚗 RINSE will pay for your gas to deliver! 🚗🚗🚗,boston/cambridge/brookline,Aug 31,https://boston.craigslist.org/gbs/trp/d/charlestown-rinse-will-pay-for-your-gas/7528435585.html,"

QR Code Link to This Post



 




LIMITED TIME BONUS!
Drive 7 delivery routes in your first 14 days and earn a $150 bonus!
Drive 10 delivery routes in your first 14 days and earn a $300 bonus!




Join the Rinse Valet team. We’re taking the stress of laundry day away and you can help us do it!



What is Rinse?

Rinse(www.rinse.com) is on a mission to remove the stress of laundry day and give people their time back. Founded in San Francisco in 2013, we’re a rapidly growing start-up that offers laundry and dry cleaning services on demand. We’re looking for great new additions to our Valet team.








Why drive with Rinse?
 As a Rinse Valet, you’ll be the face of our brand and provide our customers with the best-in-class service when you pick up and deliver their clothing. This part-time role offers flexible scheduling and evening-only shifts, plus tips and mileage reimbursement. 



Predictable and flexible evening shifts (7:15pm-10:45pm). We operate 7 days a week and can work around your availability.
Earn $75-120+ per shift with pay and tips!
Keep 100% of tips.
Guaranteed hourly minimum (varies by market). 
Driving expenses are reimbursed at $0.625/mile driven. Because you're a W-2 employee of Rinse, we add a mileage reimbursement ($.625/mile) to your paycheck to account for gas and wear and tear to your vehicle.  So, if your car makes 28 MPG and drive approximately 20 miles for Rinse, you'd spend $4.06 on gas for your route but reimbursed $12.50! Data usage is also reimbursed!
W2 employee benefits: payroll taxes covered, up to 72 hours of Paid Sick Leave, and other benefits such as company credits for laundry and dry cleaning services and mobile data reimbursement.
Advance your career with Rinse - Enjoy career growth opportunities as many of our current managers started out as Valets
 $10 Rinse credit for every 10 routes completed (can be used for any Rinse cleaning services) 






What do Rinse Valets need?

Great customer service skills
4-door vehicle (the bigger the better!)
A clean driving record
A GPS enabled smartphone
Availability to work 7:15pm -10:45pm shifts











Driving with Rinse is perfect for those looking for a flexible way to make some additional income. Hours are in the evening. No previous experience as a transportation driver, truck driver, taxi driver, courier driver or delivery driver is necessary. We welcome those who have driven with other peer-to-peer ridesharing networks such as Lyft, Uber, DoorDash, Shipt, Munchery, Postmates, Caviar, Instacart, Amazon, Amazon Fresh, Amazon Flex, Eat24, OrderAhead, Seamless.  Our delivery Valets come from all backgrounds and industries ranging from traditional driving and transportation industries to more customer service and creative industries. If you are an account manager, accountant, accounting, actor, actress, admin, administrative, administrative assistant, barista, bus boy, busboy, busser, cab driver, cab-driver, chauffeur, cleaner, cleaners, clerical, coffee, college student, construction, contract worker, customer service, customer service agent, delivery driver, designer, education, entry level, entry-level, expo, finance, food runner, food-runner, foodrunner, full time, full-time, health care, healthcare, host, hostess, hosts, human resources, human-resources, intern, interns, IT, limo driver, maid, maintenance, management, manager, manufacturing, marketing, messenger, network marketing, nurse, office, part time, part-time, private hire driver, receptionist, receptionists, restaurant, retail, retail associate, sales, sales person, salesperson, server, servers, teacher, teachers, valet, valets, waiter, waiters, waitresses, warehouse, worker, who is looking for a flexible part time or seasonal job, you should try driving with Rinse to supplement your income!.



 ",$60-$90+/shift + Tips + $0.625/mi + Bonuses (W-2),part-time,2022-08-31 20
8,🚗🚗🚗 RINSE will pay for your gas to deliver! 🚗🚗🚗,north shore,Aug 31,https://boston.craigslist.org/nos/trp/d/charlestown-rinse-will-pay-for-your-gas/7528435562.html,"

QR Code Link to This Post



 




LIMITED TIME BONUS!
Drive 7 delivery routes in your first 14 days and earn a $150 bonus!
Drive 10 delivery routes in your first 14 days and earn a $300 bonus!




Join the Rinse Valet team. We’re taking the stress of laundry day away and you can help us do it!



What is Rinse?

Rinse(www.rinse.com) is on a mission to remove the stress of laundry day and give people their time back. Founded in San Francisco in 2013, we’re a rapidly growing start-up that offers laundry and dry cleaning services on demand. We’re looking for great new additions to our Valet team.








Why drive with Rinse?
 As a Rinse Valet, you’ll be the face of our brand and provide our customers with the best-in-class service when you pick up and deliver their clothing. This part-time role offers flexible scheduling and evening-only shifts, plus tips and mileage reimbursement. 



Predictable and flexible evening shifts (7:15pm-10:45pm). We operate 7 days a week and can work around your availability.
Earn $75-120+ per shift with pay and tips!
Keep 100% of tips.
Guaranteed hourly minimum (varies by market). 
Driving expenses are reimbursed at $0.625/mile driven. Because you're a W-2 employee of Rinse, we add a mileage reimbursement ($.625/mile) to your paycheck to account for gas and wear and tear to your vehicle.  So, if your car makes 28 MPG and drive approximately 20 miles for Rinse, you'd spend $4.06 on gas for your route but reimbursed $12.50! Data usage is also reimbursed!
W2 employee benefits: payroll taxes covered, up to 72 hours of Paid Sick Leave, and other benefits such as company credits for laundry and dry cleaning services and mobile data reimbursement.
Advance your career with Rinse - Enjoy career growth opportunities as many of our current managers started out as Valets
 $10 Rinse credit for every 10 routes completed (can be used for any Rinse cleaning services) 






What do Rinse Valets need?

Great customer service skills
4-door vehicle (the bigger the better!)
A clean driving record
A GPS enabled smartphone
Availability to work 7:15pm -10:45pm shifts











Driving with Rinse is perfect for those looking for a flexible way to make some additional income. Hours are in the evening. No previous experience as a transportation driver, truck driver, taxi driver, courier driver or delivery driver is necessary. We welcome those who have driven with other peer-to-peer ridesharing networks such as Lyft, Uber, DoorDash, Shipt, Munchery, Postmates, Caviar, Instacart, Amazon, Amazon Fresh, Amazon Flex, Eat24, OrderAhead, Seamless.  Our delivery Valets come from all backgrounds and industries ranging from traditional driving and transportation industries to more customer service and creative industries. If you are an account manager, accountant, accounting, actor, actress, admin, administrative, administrative assistant, barista, bus boy, busboy, busser, cab driver, cab-driver, chauffeur, cleaner, cleaners, clerical, coffee, college student, construction, contract worker, customer service, customer service agent, delivery driver, designer, education, entry level, entry-level, expo, finance, food runner, food-runner, foodrunner, full time, full-time, health care, healthcare, host, hostess, hosts, human resources, human-resources, intern, interns, IT, limo driver, maid, maintenance, management, manager, manufacturing, marketing, messenger, network marketing, nurse, office, part time, part-time, private hire driver, receptionist, receptionists, restaurant, retail, retail associate, sales, sales person, salesperson, server, servers, teacher, teachers, valet, valets, waiter, waiters, waitresses, warehouse, worker, who is looking for a flexible part time or seasonal job, you should try driving with Rinse to supplement your income!.



 ",$60-$90+/shift + Tips + $0.625/mi + Bonuses (W-2),part-time,2022-08-31 20
9,🚗🚗🚗 RINSE will pay for your gas to deliver! 🚗🚗🚗,north shore,Aug 31,https://boston.craigslist.org/nos/fbh/d/charlestown-rinse-will-pay-for-your-gas/7528435532.html,"

QR Code Link to This Post



 




LIMITED TIME BONUS!
Drive 7 delivery routes in your first 14 days and earn a $150 bonus!
Drive 10 delivery routes in your first 14 days and earn a $300 bonus!




Join the Rinse Valet team. We’re taking the stress of laundry day away and you can help us do it!



What is Rinse?

Rinse(www.rinse.com) is on a mission to remove the stress of laundry day and give people their time back. Founded in San Francisco in 2013, we’re a rapidly growing start-up that offers laundry and dry cleaning services on demand. We’re looking for great new additions to our Valet team.








Why drive with Rinse?
 As a Rinse Valet, you’ll be the face of our brand and provide our customers with the best-in-class service when you pick up and deliver their clothing. This part-time role offers flexible scheduling and evening-only shifts, plus tips and mileage reimbursement. 



Predictable and flexible evening shifts (7:15pm-10:45pm). We operate 7 days a week and can work around your availability.
Earn $75-120+ per shift with pay and tips!
Keep 100% of tips.
Guaranteed hourly minimum (varies by market). 
Driving expenses are reimbursed at $0.625/mile driven. Because you're a W-2 employee of Rinse, we add a mileage reimbursement ($.625/mile) to your paycheck to account for gas and wear and tear to your vehicle.  So, if your car makes 28 MPG and drive approximately 20 miles for Rinse, you'd spend $4.06 on gas for your route but reimbursed $12.50! Data usage is also reimbursed!
W2 employee benefits: payroll taxes covered, up to 72 hours of Paid Sick Leave, and other benefits such as company credits for laundry and dry cleaning services and mobile data reimbursement.
Advance your career with Rinse - Enjoy career growth opportunities as many of our current managers started out as Valets
 $10 Rinse credit for every 10 routes completed (can be used for any Rinse cleaning services) 






What do Rinse Valets need?

Great customer service skills
4-door vehicle (the bigger the better!)
A clean driving record
A GPS enabled smartphone
Availability to work 7:15pm -10:45pm shifts











Driving with Rinse is perfect for those looking for a flexible way to make some additional income. Hours are in the evening. No previous experience as a transportation driver, truck driver, taxi driver, courier driver or delivery driver is necessary. We welcome those who have driven with other peer-to-peer ridesharing networks such as Lyft, Uber, DoorDash, Shipt, Munchery, Postmates, Caviar, Instacart, Amazon, Amazon Fresh, Amazon Flex, Eat24, OrderAhead, Seamless.  Our delivery Valets come from all backgrounds and industries ranging from traditional driving and transportation industries to more customer service and creative industries. If you are an account manager, accountant, accounting, actor, actress, admin, administrative, administrative assistant, barista, bus boy, busboy, busser, cab driver, cab-driver, chauffeur, cleaner, cleaners, clerical, coffee, college student, construction, contract worker, customer service, customer service agent, delivery driver, designer, education, entry level, entry-level, expo, finance, food runner, food-runner, foodrunner, full time, full-time, health care, healthcare, host, hostess, hosts, human resources, human-resources, intern, interns, IT, limo driver, maid, maintenance, management, manager, manufacturing, marketing, messenger, network marketing, nurse, office, part time, part-time, private hire driver, receptionist, receptionists, restaurant, retail, retail associate, sales, sales person, salesperson, server, servers, teacher, teachers, valet, valets, waiter, waiters, waitresses, warehouse, worker, who is looking for a flexible part time or seasonal job, you should try driving with Rinse to supplement your income!.



 ",$60-$90+/shift + Tips + $0.625/mi + Bonuses (W-2),part-time,2022-08-31 20
