,Name,Absolute URL,Category,Description
0, Rosetta ,https://www.programmableweb.com/api/rosetta-rpc-api-v131, Blockchain, This Rosetta Node API is a Specification for blockchain data format and interacting with a blockchain node. It provides a configuration for an automated deployment of the implementation using a Dockerfile. Rosetta is a set of tools and open source Specification to integrate with blockchains.
1, API Spot Currency Converter,https://www.programmableweb.com/api/api-spot-currency-converter-rest-api-v10, Currency, The API Spot Currency Converter API enables users to convert an amount from one currency to another.
2, API Spot Email Filter,https://www.programmableweb.com/api/api-spot-email-filter-rest-api-v10, Tools," API Spot Email Filter validates email addresses. It increases the quality of users by eliminating low-quality and scam emails. The API checks syntax correctness, DNS records presence and if email is of free/disposable provider."
3, API Spot Domain Toolkit,https://www.programmableweb.com/api/api-spot-domain-toolkit-rest-api-v10, Tools," The Domain Names API by API Spot returns WHOIS information, domain check data, and IP lookup results. The API features REST architecture and JSON responses. The API is free to start and includes 500 maximum daily transactions."
4, Workadu,https://www.programmableweb.com/api/workadu-rest-api-v20, Business," Workadu API is a RESTful service for integrating business essential software such as booking, website builds, PoS systems and invoicing. Methods are available to create and manage services, prices, orders, customers, invoices, payments and more. Workadu is an online business management platform which includes a website builder and an online booking engine."
5, Backblaze S3 Compatible ,https://www.programmableweb.com/api/backblaze-s3-compatible-rest-api-v50, Storage," The Backblaze S3 Compatible API allows existing S3 (Amazon Simple Storage Service) integrations and SDKs to easily integrate with Backblaze B2 Cloud Storage. API calls are available for Abort Multipart Upload, Complete, Multipart Upload, Create Bucket, Delete Bucket and more. Backblaze provides user-friendly, unlimited, and efficient storage and back up options and services."
6, CopperEgg Cloud,https://www.programmableweb.com/api/copperegg-cloud-rest-api-v20, Monitoring," Copperegg Cloud API enables users to visualize AWS & AZURE cloud resources for monitoring purposes. Users can also monitor servers, applications, users and get metrics with this API. Methods are available for Alert Definitions, Notification Profiles, Issues, Schedules and more. API Keys are required for both identification and authentication. Copperegg builds services to visualize cloud Infrastructure performance."
7, Service Objects DOTS Address Geocode International,https://www.programmableweb.com/api/service-objects-dots-address-geocode-international-rest-api-v10, Tools," Service Objects DOTS Address Geocode International provides latitude, longitude, and metadata for international addresses and places. The API follows conventions for each country’s postal system for parsing and storing addresses and returns 16 levels of precision based on available data. Additionally, the API returns the locality, admin area, postcode, country, and country ISO 2 and ISO 3. The Address Geocode International API returns JSON or XML formatted responses."
8, Hoverfly,https://www.programmableweb.com/api/hoverfly-rest-api-v10, Tools," The Hoverfly API enables users to retrieve data from an API simulation test environment. Hoverfly is an open source API simulation tool that allows users to create realistic simulations of APIs. The Hoverfly API utilizes GET, PUT, POST and DELETE parameters to get all simulation data, puts the simulation into Hoverfly, appends the simulation, unsets the simulation data and more. Hoverfly is built by SpectoLabs."
9, Beaconstac QR Code,https://www.programmableweb.com/api/beaconstac-qr-code-rest-api-v20, QR Codes," The Beaconstac QR Code API enables developers to integrate automated QR code generation functionalities with their applications. QR Codes can be customized by changing colors, frames, and logos. The API features REST architecture, and Token-based authentication. Beaconstac provides engagement and proximity marketing products."
10, Investabit,https://www.programmableweb.com/api/investabit-rest-api-v10, Cryptocurrency," Investabit Market Intelligence provides cryptocurrency tools such as Machine Learning libraries, algorithmic trading infrastructure, and data aggregation. The Investabit API enables market forecasts and payment processing capabilities in approved third parties. The API requires API Key based authentication."
11, USPS Merchandise Return Bulk Label,https://www.programmableweb.com/api/usps-merchandise-return-bulk-label-rest-api-v15, Shipping," The USPS Merchandise Return Bulk Label API allows developers to get Merchandise Return labels in bulk. Using label APIs requires extra permissions; contact the Internet Customer Care Center to request access.
This API is part of the USPS Web Tools API library which provides access to USPS data free of charge."
12, Serato,https://www.programmableweb.com/api/serato-indirect-api-v231, Music," Serato provides audio software for DJs and producers. Serato offers an interface to connect to Serato Web Services which enable partner promotion management, program management, and user management. The Serato API is accessible via SDK."
13, Inoreader ,https://www.programmableweb.com/api/inoreader-rest-api, Content," The Inoreader API provides basic information about the RSS feed content reader tool, including logged in user, unread counters for folders, tags and feeds. It also returns the articles for a given collection and more. Inoreader is a content reader tool for users that want to save time."
14, Spott,https://www.programmableweb.com/api/spott-rest-api, Tools," The Spott API provides tools for applications to search for cities, countries and administrative divisions by name, autocompletion or IP. It returns the place where a given IP Address is located, returns a single place identified by a Geoname ID, returns the place related to the IP where the request was performed and others. Spott builds tools for developers that enables you to search for places by a full query and more."
15, Datawrapper,https://www.programmableweb.com/api/datawrapper-rest-api-v30, Data," The Datawrapper API allows users to programmatically interface with Datawrapper chart creation service. It is a REST service that provides a way to build a chart viewer, embed charts, view, edit or delete a specific chart, change the status of a team member etc.. It enables access to endpoints to fetch data with query parameters that are JSON formatted. Examples are available for cURL, Node, Ruby, JavaScript and Python. Datawrapper builds a simple tool to create charts, maps and tables for the web."
16, EnableX Client Toolkit,https://www.programmableweb.com/api/enablex-client-toolkit-indirect-api-v10, Platform-as-a-Service," The EnableX Client Toolkit API is used to connect a specified Room hosted on the EnableX platform. This API uses a Token to establish an RTC session and currently provides 4 types of Client Toolkits to develop Endpoint Applications that include; Web, Android, iOS and React Native. This is indirect access to this service. Please refer to the corresponding SDK below. EnableX is a communication platform that allows you to embed video/voice calls and messaging into applications and websites."
17, Fun Generators Taunt ,https://www.programmableweb.com/api/fun-generators-taunt-rest-api-v10, Entertainment," Fun Generators Taunt API enables users to get endless random taunts on different categories. Taunt as a service, how cool is that? Fun Generators supports access to a full set of generators to integrate into your workflow, website or application."
18, WhoisXML Website Contacts,https://www.programmableweb.com/api/whoisxml-website-contacts-rest-api-v10, Domains," The Whois XML Contacts API allows users to get full contact information of domain owners based on the data parsed from website content, social networks, SSL certificates, and other sources. The service has coverage of 152+ million websites, 283+ million contacts, and 4+ million websites analyzed daily. The API can be used for data integration, marketing (i.e., gather business intelligence, build marketing applications, get to know customers, etc.), and risk management (i.e., perform background checks, prevent fraudulent activity, etc.)."
19, WhoisXML Categorization,https://www.programmableweb.com/api/whoisxml-categorization-rest-api-v10, Domains," The Whois XML Website Categorization API allows finding out website categories. Developers can use the API to investigate threats at the URL and identify malicious activities (i.e., malware, phishing, fraud, and spyware), filter content, target e-commerce, protect brands, and integrate data. The service has 152+ million websites parsed in total, 4+ million websites parsed daily, and 25 supported categories. It is powered by a machine-learning engine with natural language processing capabilities."
20, WhoisXML Screenshot,https://www.programmableweb.com/api/whoisxml-screenshot-rest-api-v10, Screenshots," The Whois XML Screenshot API allows users to get screenshots of a web page as a JPG, PNG, and PDF file with embedded links. Developers can monitor competitor pages, evaluate test sites, and include screenshots in SEO reports. Intelligent features include chrome rendering engine, desktop, and mobile screenshots, adjustable capture timing, multiformat, and direct URL rendering."
21, Puppet Server Metrics ,https://www.programmableweb.com/api/puppet-server-metrics-rest-api-v20, Software-as-a-Service, This API provides a way to query Puppet Server performance and usage metrics. This v2 metrics endpoint utilizes Jolokia-based metrics that allows you to query the metrics v2 services with a GET or POST request that returns a JSON document. Puppet Enterprise provides IT automation and DevOps software solutions.
22, Puppet Razor,https://www.programmableweb.com/api/puppet-razor-rest-api-v10, Software-as-a-Service," The Puppet Razor API is REST-based and supports calls that are sent over HTTPS with TLS/SSL. The API utilizes Get and POST methods with JSON requests and responses. This includes services for; Configuration, Nodes, Repositories, Tasks and more. Puppet Enterprise provides IT automation and DevOps software solutions."
23, Puppet Activity Service,https://www.programmableweb.com/api/puppet-activity-service-rest-api-v10, Software-as-a-Service, This Activity Service API allows users to interact with Puppet applications to Query PE services and user events logged by the activity service. This includes endpoints to retrieve activity service events with responses that are returned in JSON and CSV formats. Puppet Enterprise provides IT automation and DevOps software solutions.
24, Puppet Code Manager Webhooks,https://www.programmableweb.com/api/puppet-code-manager-webhooks-rest-api, Software-as-a-Service," The Puppet Code Manager Webhooks API allows users to deploy code, and to trigger Puppet Code Manager with a web endpoint via webhook or a custom script. This requires you to set up authentication and create a custom URL. Puppet Code Manager automates deployment and management of Puppet code. Puppet Enterprise provides IT automation and DevOps software solutions."
25, Puppet Code Manager,https://www.programmableweb.com/api/puppet-code-manager-rest-api-v10, Software-as-a-Service," The Puppet Code Manager API provides a way to manage Puppet code deployments. Puppet Code Manager automates deployment and management of Puppet code, push code updates to source control repo, and syncs the code to your masters, so that all your servers start running the new code at the same time. Requests to the API require token based authentication for endpoints that allow you to deploy code and query environment deployment status on your masters without direct shell access. Puppet Enterprise provides IT automation and DevOps software solutions."
26, Puppet Orchestrator,https://www.programmableweb.com/api/puppet-orchestrator-rest-api-v10, Software-as-a-Service," Puppet orchestrator is a tool for creating on-demand changes to your infrastructure that allows you to automate tasks, Initiate Puppet runs, group the servers in your network and more. The API includes endpoints to access service to start and stop orchestrator jobs for tasks and plans, discover which nodes can be reached by the orchestrator, view details about the tasks pre-installed by PE and others. Puppet Enterprise provides IT automation and DevOps software solutions."
27, Puppet Status,https://www.programmableweb.com/api/puppet-status-rest-api-v10, Software-as-a-Service," The Puppet status API provides a way to check the health of PE components and allows you to automate the monitoring of your PE infrastructure, remove unhealthy service instances from a load-balanced pool, check configuration values and more. Puppet Enterprise provides IT automation and DevOps software solutions."
28, Amplitude Dashboard ,https://www.programmableweb.com/api/amplitude-dashboard-rest-api-v3, Tools," The Amplitude Dashboard API returns chart results, user sessions, funnel analysis, real-time active users, and annotations data. Developers can use an API Key to authenticate and make calls that will display JSON formats un return. Amplitude provides product analysis for converting and retaining users."
29, Filovirid Screenshot,https://www.programmableweb.com/api/filovirid-screenshot-rest-api-v01, Screenshots, This API enables screenshots from any URL. Developers can also provide custom User-Agent header values per request. This API supports 3 requests per minute. Tokens are required for authentication.
30, IX-API,https://www.programmableweb.com/api/ix-rest-api-v10, Standards," The IX-API interface allows you to configure, change, and delete Internet Exchange services. It provides access to methods such as List all connections, List available contacts, Retrieve a list of customers and more. It is a REST API that follows OpenAPI standards and enables users to configure, change and cancel IX services at multiple IXs. Authorization to the IX-API service is utilized via API Key, secret pair and token. IX-API provisions key services at multiple Internet Exchanges and supports end-to-end automated processes that enable networks to configure, change and cancel IX services."
31, PageCDN,https://www.programmableweb.com/api/pagecdn-rest-api-v2, Content Delivery Network," The opensource PageCDN API focuses on accelerating website layouts. PageCDN ensures pages download in the least time possible with open source libraries like jQuery and frameworks like Vue or React, fonts like Google Fonts and Icon Fonts. Public CDN is free and it provides all popular WordPress and bootstrap themes, fonts, patterns, and image libraries."
32, Duda Mobile JavaScript ,https://www.programmableweb.com/api/duda-mobile-javascript-indirect-api, Tools, The Duda Mobile JavaScript API access the interface indirectly to use helper functions and specific actions for website management and design. The API can be used with the JavaScript code available in a widget and the Duda responsive website. Duda is a business website design platform.
33, GroupDocs Documents Watermarking,https://www.programmableweb.com/api/groupdocs-documents-watermarking-indirect-api-v1951, Documents," This is indirect access to this service. Please refer to the corresponding SDK below. GroupDocs.Watermark is a .NET API to digitally add text and image watermarks on most common and popular document formats including Microsoft Office (Word, Excel, PowerPoint, Visio), OpenDocument, PDF, Email and images. The smart searching feature is very useful in terms of locating hard-to-find watermarks and remove them from documents. With GroupDocs.Watermark library – secure your sensitive documents from unauthorized access."
34, Fun Translations Name Generation,https://www.programmableweb.com/api/fun-translations-name-generation-rest-api, Entertainment," This API enables users to generate lots of different types of (fantasy, pet, place, user names etc.) names. Literally thousands and thousands of names available to you with a simple REST call. Fun Translations supports a full set of translations API’s to integrate for fun, with over 50 translators to choose from. Translate from standard English to Shakespeare English using this API."
35, SmartIP.io ,https://www.programmableweb.com/api/smartipio-rest-api-v10, Location," With SmartIP you can enrich any IP address with geolocation data, ASN and hostname information, enforce GDPR compliance, assess potential risks and much more. SmartIP.io provides fast, secure information about IP addresses."
36, Puppet Forge,https://www.programmableweb.com/api/puppet-forge-rest-api-v30, Software-as-a-Service, The Puppet Forge API allows access to data on the Puppet Forge automation platform. It provides a RESTful interface to write scripts and tools to interact with the Puppet Forge website. This service is accessed over HTTPS with data that is returned in JSON format. Protected endpoints require authentication using an API key. Puppet Enterprise provides IT automation and DevOps software solutions.
